transaction_id,transaction_date,country,product_id,product_name,category,price_per_unit,quantity_purchased,cost_price,discount_applied,payment_method,customer_age_group,customer_gender,store_location,sales_representative,total_amount,profit
mW8814,2024-10-05,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,985.52,2,1607.18,0.1,Credit Card,Senior,Male,Guayaquil,Ana Lopez,1773.94,166.76
tz0807,2024-10-01,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,975.73,1,693.97,0.15,Mobile Wallet,Adult,Female,Quito,Maria Lopez,829.37,135.40
Yu3376,2024-03-16,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.33,19,15.96,0.2,Online Payment,Young,Female,Quito,Maria Garcia,20.22,4.26
Yz7222,2024-05-15,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.17,14,11.2,0.2,Mobile Wallet,Young,Female,Cuenca,Carmen Ramirez,13.10,1.90
cf0616,2024-05-23,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,270.92,2,395.4,0,Mobile Wallet,Young,Male,Quito,Jose Garcia,541.84,146.44
eO8000,2024-03-08,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,71.27,1,53.19,0,Cash,Young,Male,Quito,Maria Lopez,71.27,18.08
xl2488,2024-11-17,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1189.64,1,889.46,0.2,Online Payment,Senior,Male,Guayaquil,Ana Ramirez,951.71,62.25
mG1984,2024-05-20,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,213.13,2,319.06,0.1,Mobile Wallet,Young,Male,Santo Domingo,Maria Martinez,383.63,64.57
Au8916,2024-04-28,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,69.87,4,191.52,0.05,Cash,Senior,Male,Machala,Ana Lopez,265.51,73.99
nY9317,2024-01-11,China,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.44,7,21.28,0.1,Cash,Young,Female,Beijing,Zhang Tao,27.97,6.69
JT8186,2024-08-16,China,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.87,9,23.67,0.2,Online Payment,Young,Female,Chengdu,Liu Bo,27.86,4.19
id7003,2024-07-01,China,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,2493.59,1,1496.72,0.05,Debit Card,Young,Female,Shenzhen,Liu Ming,2368.91,872.19
Zg6275,2024-11-27,China,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,29.71,4,82.24,0.1,Cash,Young,Male,Beijing,Zhang Bo,106.96,24.72
nI6173,2024-06-15,China,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,793,1,666.79,0.05,Credit Card,Adult,Female,Shanghai,Chen Bo,753.35,86.56
bl5562,2024-07-17,China,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,965.92,1,818.37,0.05,Debit Card,Young,Female,Shanghai,Li Jie,917.62,99.25
Tf2564,2024-05-23,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1049.19,1,792.6,0,Mobile Wallet,Young,Male,Santo Domingo,Jose Ramirez,1049.19,256.59
ep3786,2024-03-25,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1514.51,1,1018.36,0.2,Mobile Wallet,Senior,Female,Quito,Luis Perez,1211.61,193.25
Tl3463,2024-08-30,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,53.61,3,124.5,0.15,Mobile Wallet,Senior,Male,Cuenca,Jose Ramirez,136.71,12.21
Uw4620,2024-11-14,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,900.22,2,1122.52,0.15,Cash,Adult,Male,Machala,Carmen Ramirez,1530.37,407.85
eb9498,2024-05-14,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.9,2,6.44,0.15,Debit Card,Senior,Male,Quito,Maria Ramirez,6.63,0.19
MF3608,2024-07-05,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,69.58,4,190.84,0.2,Credit Card,Young,Female,Quito,Maria Martinez,222.66,31.82
xp4624,2024-03-05,Canada,ec3f984c-1d68-44f0-80d7-4f759657bf53,The North Face Jacket,Apparel,247.98,1,160.35,0.2,Debit Card,Adult,Male,Ottawa,Chloe Wilson,198.38,38.03
AE3905,2024-04-10,Canada,e7c2e0e7-d083-46d7-a9f0-853dd88bc2d9,iPhone 14,Electronics,1034.81,2,1628.4,0,Credit Card,Adult,Female,Vancouver,Thomas Martin,2069.62,441.22
LA3734,2024-08-14,Canada,ec3f984c-1d68-44f0-80d7-4f759657bf53,The North Face Jacket,Apparel,220.61,1,138.94,0,Debit Card,Young,Male,Vancouver,William Martin,220.61,81.67
CU3635,2024-03-23,Canada,ba19ca27-baf8-4ec4-83e1-c9972685cfd0,Levi's 501 Jeans,Apparel,67.36,3,155.1,0.1,Debit Card,Senior,Male,Vancouver,Olivia Gagnon,181.87,26.77
TF0169,2024-08-20,Canada,bb267597-e2b6-4639-93b3-12855a26e077,Doritos Chips,Snacks,2.71,6,12.48,0.2,Debit Card,Young,Male,Ottawa,Lucas Smith,13.01,0.53
bT3266,2024-11-25,Canada,2990a5aa-c681-4a51-92e4-b7baab33e3ca,Yeti Tumbler,Outdoor,45.31,4,130.28,0,Credit Card,Adult,Female,Vancouver,Noah Roy,181.24,50.96
Kn2704,2024-10-28,Canada,bb267597-e2b6-4639-93b3-12855a26e077,Doritos Chips,Snacks,4,7,23.73,0.1,Debit Card,Young,Female,Montreal,Thomas Roy,25.20,1.47
ZR0902,2024-07-03,Canada,efcae66c-d9ee-4629-8a67-274c04d7c178,KitchenAid Mixer,Home Appliances,413.4,1,341.11,0.15,Credit Card,Adult,Male,Toronto,Thomas Smith,351.39,10.28
zv1061,2024-09-11,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.75,10,28.1,0.1,Online Payment,Senior,Male,Guayaquil,Jose Garcia,33.75,5.65
Wa5971,2024-11-29,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.12,21,14.49,0.15,Mobile Wallet,Young,Male,Machala,Maria Perez,19.99,5.50
dI3932,2024-02-09,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,2397.69,1,1986.68,0.1,Mobile Wallet,Adult,Female,Santo Domingo,Luis Lopez,2157.92,171.24
ER1924,2024-10-03,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,25.22,4,67.88,0.15,Cash,Young,Male,Cuenca,Luis Ramirez,85.75,17.87
ER0479,2024-09-17,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1191.21,1,725.56,0.05,Mobile Wallet,Adult,Male,Santo Domingo,Carmen Ramirez,1131.65,406.09
NH0386,2024-07-09,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.65,2,7.58,0.05,Online Payment,Young,Male,Machala,Luis Perez,8.84,1.26
dK9645,2024-04-29,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.12,18,14.76,0.05,Debit Card,Young,Female,Cuenca,Ana Garcia,19.15,4.39
xI3727,2024-07-23,Canada,e7c2e0e7-d083-46d7-a9f0-853dd88bc2d9,iPhone 14,Electronics,1069.27,1,758.56,0.1,Mobile Wallet,Young,Male,Ottawa,Benjamin Smith,962.34,203.78
MG3062,2024-07-07,Canada,30ce3a29-475a-4b31-b3b3-3799ab80e5a0,Nike Air Max,Footwear,146.58,2,194.52,0.1,Cash,Senior,Male,Vancouver,Liam Wilson,263.84,69.32
ui2709,2024-07-19,Canada,2990a5aa-c681-4a51-92e4-b7baab33e3ca,Yeti Tumbler,Outdoor,40.27,2,54.9,0,Mobile Wallet,Senior,Male,Ottawa,Liam Johnson,80.54,25.64
il2608,2024-01-25,Canada,ba19ca27-baf8-4ec4-83e1-c9972685cfd0,Levi's 501 Jeans,Apparel,68.17,4,183.4,0.05,Debit Card,Adult,Female,Montreal,William Gagnon,259.05,75.65
ID0762,2024-07-12,Canada,efcae66c-d9ee-4629-8a67-274c04d7c178,KitchenAid Mixer,Home Appliances,385.57,2,611.22,0.15,Online Payment,Senior,Female,Vancouver,Liam Gagnon,655.47,44.25
YI6538,2024-04-17,Ecuador,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,407.73,1,292.28,0.15,Debit Card,Adult,Male,Guayaquil,Luis Ramirez,346.57,54.29
PJ0036,2024-01-17,China,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1020.55,2,1630.8,0.1,Debit Card,Adult,Male,Shanghai,Chen Jie,1836.99,206.19
eY6379,2024-02-24,China,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1015.56,1,829.24,0.1,Cash,Young,Male,Chengdu,Wang Jie,914.00,84.76
wa8789,2024-12-01,China,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,2.72,10,18.3,0,Mobile Wallet,Senior,Female,Chengdu,Zhang Tao,27.20,8.90
Ei1505,2024-01-18,China,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1050.81,2,1406.74,0.05,Cash,Adult,Female,Guangzhou,Li Tao,1996.54,589.80
rj4544,2024-04-15,China,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,440.51,2,632.9,0.15,Credit Card,Senior,Male,Guangzhou,Zhang Wei,748.87,115.97
Vz8817,2024-12-16,China,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,57.22,4,159.28,0,Debit Card,Senior,Male,Beijing,Chen Jie,228.88,69.60
HX3206,2024-04-05,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,151.97,2,257.64,0.05,Debit Card,Adult,Male,Quito,Carmen Martinez,288.74,31.10
XC4223,2024-02-16,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.33,23,20.01,0.05,Online Payment,Young,Male,Machala,Ana Ramirez,29.06,9.05
hx7689,2024-07-20,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.2,6,19.86,0.15,Credit Card,Senior,Female,Santo Domingo,Jose Lopez,21.42,1.56
BA9862,2024-03-20,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1046.2,1,651.29,0.2,Cash,Senior,Female,Cuenca,Ana Lopez,836.96,185.67
br5352,2024-08-31,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,179.64,1,141.45,0.2,Online Payment,Young,Male,Guayaquil,Maria Ramirez,143.71,2.26
gu9206,2024-10-26,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,124.93,3,245.01,0.05,Online Payment,Young,Female,Santo Domingo,Ana Garcia,356.05,111.04
IF7862,2024-12-25,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,152.12,2,249.52,0.2,Mobile Wallet,Senior,Female,Quito,Luis Lopez,243.39,-6.13
Rn0584,2024-12-25,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,48.87,1,40.44,0.2,Debit Card,Young,Male,Machala,Carmen Ramirez,39.10,-1.34
La0541,2024-07-01,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,808.53,1,517.51,0,Mobile Wallet,Young,Female,Santo Domingo,Luis Ramirez,808.53,291.02
uZ1692,2024-08-27,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,941.63,2,1291.96,0.15,Cash,Senior,Female,Machala,Luis Ramirez,1600.77,308.81
Or8607,2024-05-09,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,66.68,3,153.51,0,Debit Card,Senior,Female,Machala,Maria Perez,200.04,46.53
fc1682,2024-05-17,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,132.18,3,282.36,0,Online Payment,Adult,Female,Quito,Maria Lopez,396.54,114.18
JR1336,2024-07-21,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,136.15,2,165.96,0.2,Credit Card,Adult,Male,Santo Domingo,Carmen Ramirez,217.84,51.88
dU3236,2024-05-14,Ecuador,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,393.24,1,246.66,0.15,Cash,Young,Female,Quito,Luis Ramirez,334.25,87.59
XF0357,2024-03-27,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1775.31,1,1495.09,0.05,Cash,Adult,Male,Machala,Carmen Martinez,1686.54,191.45
hm9712,2024-04-26,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,29.66,4,76.72,0.2,Credit Card,Adult,Male,Guayaquil,Luis Garcia,94.91,18.19
DN4326,2024-05-23,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,157.65,2,214.12,0.1,Mobile Wallet,Young,Female,Santo Domingo,Maria Perez,283.77,69.65
yP8471,2024-10-24,Ecuador,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,387.26,2,495.14,0.15,Debit Card,Adult,Female,Quito,Ana Ramirez,658.34,163.20
ll1000,2024-07-28,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,67.4,1,51.15,0.15,Online Payment,Young,Male,Santo Domingo,Maria Ramirez,57.29,6.14
gi9607,2024-10-05,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,241.91,2,378.62,0,Mobile Wallet,Adult,Female,Santo Domingo,Luis Lopez,483.82,105.20
kJ9953,2024-06-07,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,156.59,1,122.11,0.15,Debit Card,Young,Female,Cuenca,Maria Lopez,133.10,10.99
nL0624,2024-02-23,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,748.11,1,548.05,0.15,Credit Card,Adult,Female,Machala,Ana Ramirez,635.89,87.84
vA9770,2024-02-19,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,179.45,2,231.4,0,Cash,Senior,Male,Quito,Maria Ramirez,358.90,127.50
rd4539,2024-04-30,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1043.65,1,747.72,0.2,Online Payment,Young,Male,Quito,Ana Ramirez,834.92,87.20
tk1599,2024-12-05,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,58.08,3,123.45,0,Mobile Wallet,Senior,Female,Santo Domingo,Luis Lopez,174.24,50.79
St5249,2024-10-06,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,211.55,2,259.26,0.05,Debit Card,Young,Male,Cuenca,Ana Garcia,401.95,142.69
QU4140,2024-11-16,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1956.34,1,1294.03,0,Debit Card,Senior,Female,Cuenca,Ana Garcia,1956.34,662.31
cW4736,2024-12-23,China,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,369.33,2,576.54,0.1,Online Payment,Adult,Female,Guangzhou,Liu Bo,664.79,88.25
qU3005,2024-07-14,China,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,945.31,1,695.92,0.1,Credit Card,Adult,Female,Shenzhen,Zhang Ming,850.78,154.86
ei9666,2024-06-07,China,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,419.18,2,661.86,0,Online Payment,Senior,Male,Shenzhen,Li Wei,838.36,176.50
Vp0444,2024-06-16,Canada,98284056-f26a-4293-acf3-6a65304b4d38,Coca-Cola Can,Beverages,1.15,13,12.61,0.15,Online Payment,Adult,Female,Vancouver,Liam Tremblay,12.71,0.10
ZG3335,2024-09-10,Canada,e7c2e0e7-d083-46d7-a9f0-853dd88bc2d9,iPhone 14,Electronics,1008.61,2,1287.34,0.05,Cash,Senior,Male,Ottawa,Sophie Lee,1916.36,629.02
Hd2936,2024-06-30,Canada,ba19ca27-baf8-4ec4-83e1-c9972685cfd0,Levi's 501 Jeans,Apparel,59.8,1,36.32,0.1,Cash,Senior,Male,Vancouver,Lucas Martin,53.82,17.50
Cl1998,2024-08-19,Canada,2990a5aa-c681-4a51-92e4-b7baab33e3ca,Yeti Tumbler,Outdoor,48.32,2,62.22,0.05,Credit Card,Senior,Female,Toronto,Olivia Smith,91.81,29.59
JF1490,2024-02-24,Canada,30ce3a29-475a-4b31-b3b3-3799ab80e5a0,Nike Air Max,Footwear,160.85,1,119.87,0.1,Cash,Adult,Male,Vancouver,Olivia Lee,144.77,24.90
Ro6000,2024-08-29,Canada,efcae66c-d9ee-4629-8a67-274c04d7c178,KitchenAid Mixer,Home Appliances,304.02,2,498.12,0.15,Online Payment,Young,Male,Calgary,Liam Johnson,516.83,18.71
Pp8908,2024-07-12,Canada,30ce3a29-475a-4b31-b3b3-3799ab80e5a0,Nike Air Max,Footwear,151.16,3,356.22,0,Cash,Adult,Female,Montreal,Chloe Campbell,453.48,97.26
Lx0618,2024-10-29,Canada,9a8e52da-5c4f-4ae1-ad7d-78bd2b5b6e7a,Samsung QLED TV,Electronics,983.33,1,793.92,0.15,Online Payment,Senior,Female,Ottawa,Olivia Tremblay,835.83,41.91
CA7902,2024-02-07,Canada,ec3f984c-1d68-44f0-80d7-4f759657bf53,The North Face Jacket,Apparel,251.58,2,323.62,0.1,Cash,Young,Female,Vancouver,Olivia Gagnon,452.84,129.22
kJ1441,2024-06-15,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,41.24,3,81.63,0.1,Cash,Senior,Male,Santo Domingo,Ana Ramirez,111.35,29.72
Cn3589,2024-09-11,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1456.94,1,904.68,0.1,Online Payment,Adult,Female,Guayaquil,Carmen Lopez,1311.25,406.57
Nk0858,2024-07-26,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,2181.58,1,1388.14,0.2,Credit Card,Adult,Male,Machala,Ana Martinez,1745.26,357.12
Bm8324,2024-12-06,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1025.61,1,703.1,0.2,Debit Card,Adult,Female,Machala,Maria Garcia,820.49,117.39
UT9470,2024-09-09,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.05,7,4.62,0.1,Cash,Young,Male,Santo Domingo,Luis Ramirez,6.62,2.00
Sf0412,2024-02-13,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,157.66,1,101.5,0.15,Cash,Adult,Female,Quito,Luis Martinez,134.01,32.51
CA5558,2024-01-03,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,39.26,3,85.08,0.2,Online Payment,Adult,Male,Guayaquil,Jose Garcia,94.22,9.14
Sk2579,2024-06-23,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,986.89,1,732.14,0,Cash,Adult,Male,Quito,Ana Martinez,986.89,254.75
Yx1574,2024-09-08,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,134.47,2,172.88,0.1,Debit Card,Senior,Female,Santo Domingo,Jose Lopez,242.05,69.17
yC8144,2024-04-13,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,72.07,4,220.8,0.15,Mobile Wallet,Senior,Male,Guayaquil,Carmen Martinez,245.04,24.24
WB9689,2024-02-28,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,903.78,1,689.74,0.15,Cash,Adult,Female,Quito,Carmen Ramirez,768.21,78.47
Ac1733,2024-10-21,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,168.76,3,422.49,0.2,Debit Card,Adult,Male,Cuenca,Maria Perez,405.02,-17.47
FP3660,2024-04-27,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,246.79,1,156.02,0.05,Mobile Wallet,Senior,Male,Guayaquil,Carmen Perez,234.45,78.43
nK6337,2024-12-02,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1719.18,1,1168.6,0,Online Payment,Senior,Female,Guayaquil,Luis Martinez,1719.18,550.58
We1412,2024-08-05,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1419.11,1,1126.26,0.2,Mobile Wallet,Young,Male,Cuenca,Carmen Lopez,1135.29,9.03
ae8360,2024-03-24,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.55,5,15.6,0.1,Debit Card,Senior,Female,Santo Domingo,Maria Lopez,20.48,4.88
YF0616,2024-05-22,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,127.64,2,172.74,0.2,Online Payment,Young,Male,Quito,Carmen Perez,204.22,31.48
nm0322,2024-07-19,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.48,19,18.24,0.15,Cash,Senior,Male,Machala,Jose Perez,23.90,5.66
WZ7969,2024-07-26,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,25.57,3,57.6,0.05,Cash,Senior,Male,Machala,Carmen Martinez,72.87,15.27
